RegionName,City,State,Metro,CountyName,SizeRank,2017_avg,2017_std,2018_avg,2018_std
10025,New York,NY,New York-Newark-Jersey City,New York County,1,3449.375,39.14616041,3416,18.68154169
60657,Chicago,IL,Chicago-Naperville-Elgin,Cook County,2,1929.833333,120.8593076,1868.75,88.49611573
10023,New York,NY,New York-Newark-Jersey City,New York County,3,3701.791667,57.86566999,3626.95,88.5097311
77494,Katy,TX,Houston-The Woodlands-Sugar Land,Harris County,4,2084.166667,102.0994885,2080,54.54356057
60614,Chicago,IL,Chicago-Naperville-Elgin,Cook County,5,2236.625,107.7220816,2080.4,89.40604006
79936,El Paso,TX,El Paso,El Paso County,6,1026.666667,28.30881292,1021.5,23.56374334
77449,Katy,TX,Houston-The Woodlands-Sugar Land,Harris County,7,1421.875,17.7695022,1491.7,17.02967997
77084,Houston,TX,Houston-The Woodlands-Sugar Land,Harris County,8,1419.375,24.02526882,1472.7,25.4039367
10002,New York,NY,New York-Newark-Jersey City,New York County,9,3125.625,149.5762243,3165.5,67.51666461
60640,Chicago,IL,Chicago-Naperville-Elgin,Cook County,10,1523.333333,59.31319883,1479.5,48.29337429
94109,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,11,4091.208333,159.7518203,4388.75,153.4814728
11226,New York,NY,New York-Newark-Jersey City,Kings County,12,1564.875,68.59182562,1649.75,67.55044411
10016,New York,NY,New York-Newark-Jersey City,New York County,13,3505.833333,15.11529762,3487.95,42.73256955
37013,Nashville,TN,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,14,1460.125,40.00214838,1555.95,40.16992034
11375,New York,NY,New York-Newark-Jersey City,Queens County,15,2323.541667,203.1329058,2050,70.71067812
11235,New York,NY,New York-Newark-Jersey City,Kings County,16,2404.125,72.77022199,2289.75,116.7071656
78660,Pflugerville,TX,Austin-Round Rock,Travis County,17,1568.75,30.14720827,1636.55,26.66312997
90250,Hawthorne,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,18,3074.363636,192.1001267,3091.5,85.47806736
60647,Chicago,IL,Chicago-Naperville-Elgin,Cook County,19,2105.625,140.5425684,2011.7,80.19513701
